SampleNumber,Week,Location,KelpNumber,X_mm,Y_mm,Z_mm,XYZ,Age_yrs,TotalDis_ml,ActualDis_ml,Biospace_ml,LogBiospace,LnBio,WetWeight_g,EC_num,EC_WW_g,EC_carapace_mm,EC_sex,EC2_WW_g,EC2_carapace_mm,EC2_sex,OtherCrustacea,Bivalves,Gastropods,Polycheate,Arthropods_NotCrustacea,Megalopa,Cnidaria,Echinoderms,TotalNonEC
79,2,SA,4,70,62,25,108500,3,75,38,37,1.568201724,3.610917913,36,1,0.0589,3.82,F,,,,0,1,0,8,2,0,0,0,11
80,2,SA,5,61,45,20,54900,2,25,10,15,1.176091259,2.708050201,13,0,,,,,,,0,1,0,5,1,1,0,0,8
81,2,SA,6,104,78,25,202800,5,150,36,114,2.056904851,4.736198448,40,0,,,,,,,0,5,6,16,0,0,0,1,28
82,2,SA,7,96,75,45,324000,4,75,40,35,1.544068044,3.555348061,35,0,,,,,,,0,4,1,7,1,0,0,0,13
83,2,SA,8,95,63,25,149625,5,75,22,53,1.72427587,3.970291914,23,0,,,,,,,0,8,0,9,0,1,0,0,18
84,2,SA,9,75,30,30,67500,1,50,14,36,1.556302501,3.583518938,16,0,,,,,,,0,1,1,2,2,0,0,0,6
85,2,SA,10,95,75,60,427500,3,100,40,60,1.77815125,4.094344562,50,0,,,,,,,2,4,2,8,0,2,0,0,18
86,2,SA,11,90,69,35,217350,2,100,25,75,1.875061263,4.317488114,38,0,,,,,,,4,1,1,10,0,3,0,0,19
87,2,SA,12,110,82,40,360800,3,120,24,96,1.982271233,4.564348191,29,0,,,,,,,0,4,1,4,0,0,0,0,9
88,2,SA,13,112,67,35,262640,3,95,25,70,1.84509804,4.248495242,45,0,,,,,,,0,2,0,8,0,0,0,0,10
89,2,SA,14,77,67,60,309540,3,90,27,63,1.799340549,4.143134726,29,0,,,,,,,0,2,4,3,0,0,0,0,9
90,2,SA,15,77,55,45,190575,4,75,19,56,1.748188027,4.025351691,22,0,,,,,,,0,2,0,3,0,1,0,0,6
91,2,SA,16,125,95,30,356250,3,190,65,125,2.096910013,4.828313737,113,0,,,,,,,0,5,0,22,3,0,0,1,31
92,2,SA,17,118,91,35,375830,4,150,63,87,1.939519253,4.465908119,77,1,0.0784,6.52,F,,,,0,6,6,11,0,0,0,0,23
93,2,SA,18,106,110,27,314820,4,145,68,77,1.886490725,4.343805422,77,0,,,,,,,0,7,0,12,1,0,0,1,21
94,2,SA,19,116,102,33,390456,4,125,33,92,1.963787827,4.521788577,44,1,0.2695,9.88,M,,,,1,3,0,17,2,0,0,0,23
95,2,SA,20,86,71,32,195392,4,100,46,54,1.73239376,3.988984047,60,0,,,,,,,0,5,0,8,0,0,0,0,13
96,2,SA,21,90,66,55,326700,3,100,25,75,1.875061263,4.317488114,30,0,,,,,,,1,5,5,1,0,0,0,0,12
97,2,SA,22,84,63,35,185220,3,50,18,32,1.505149978,3.465735903,23,0,,,,,,,0,10,3,24,4,0,0,0,41
98,2,SA,23,102,52,32,169728,3,125,24,101,2.004321374,4.615120517,31,0,,,,,,,1,10,5,30,7,2,0,0,55
99,2,SA,24,90,60,50,270000,3,100,30,70,1.84509804,4.248495242,28,0,,,,,,,1,2,2,8,0,1,0,1,15
100,2,SA,25,80,65,46,239200,3,50,16,34,1.531478917,3.526360525,19,0,,,,,,,1,3,18,15,2,0,0,0,39
101,2,D,1,70,90,35,220500,4,125,20,105,2.021189299,4.65396035,24,1,0.0084,3.12,NA,,,,3,6,1,6,7,1,0,0,24
102,2,D,2,80,130,40,416000,4,150,25,125,2.096910013,4.828313737,28,0,,,,,,,0,4,3,3,2,0,0,1,13
103,2,D,3,80,126,34,342720,3,175,20,155,2.190331698,5.043425117,25,0,,,,,,,5,2,1,3,0,0,0,2,13
104,2,D,4,80,100,40,320000,3,125,25,100,2,4.605170186,29,0,,,,,,,2,3,4,8,0,0,0,1,18
105,2,D,5,95,105,35,349125,3,175,40,135,2.130333768,4.905274778,46,2,0.1856,8.63,NA,0.0077,2.75,NA,1,3,0,5,1,2,0,0,12
106,2,D,6,77,65,20,100100,3,50,10,40,1.602059991,3.688879454,12,0,,,,,,,0,0,2,0,0,0,0,0,2
107,2,D,7,135,37,125,624375,3,275,58,217,2.336459734,5.379897354,52,0,,,,,,,5,3,6,0,0,0,0,4,18
108,2,D,8,77,65,20,100100,4,200,30,170,2.230448921,5.135798437,34,0,,,,,,,3,2,4,3,0,1,0,0,13
109,2,D,9,100,120,100,1200000,4,250,100,150,2.176091259,5.010635294,110,0,,,,,,,8,2,12,2,6,0,0,1,31
110,2,D,10,70,93,25,162750,3,50,10,40,1.602059991,3.688879454,11,1,0.013,2.79,,,,,4,3,0,3,1,0,0,5,16
