@relation 'Road Accident Data, nominal'
@attribute 'Accident Year'{'Year 2000', 'Year 2001', 'Year 2002', 'Year 2003', 'Year 2004', 'Year 2005'}
@attribute 'Road Class' {Motorway, 'A(M)', A, B, C, Unclassified}
@attribute 'Speed Limit' {20, 30, 40, 50, 60, 70}
@attribute 'Junction Detail' {'Not a junction', Roundabout, 'Mini-roundabout', 'T,Y or staggered road', 'Slip road', Crossroads, 'Multiple juncion', 'Private drive or entrance', Other}
@attribute 'Day/Night?' {Day, Night}
@attribute 'Light Condition' {'lights lit', 'lights unlit', 'no lighting', 'lighting unknown'}
@attribute 'Weather Condition' {Fine, Raining, Snowing, 'Fog or mist', Other, Unknown}
@attribute 'High winds?' {Yes, No, Unknown}
@attribute 'Casualty Class' {'Driver or rider', Passenger, Pedestrian}
@attribute 'Sex of Casualty' {Male, Female}
@attribute 'Age of Casualty' real
@attribute 'Severity of Casualty' {Fatal, Serious}

@data
'Year 2000',A,40,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,47,Serious
'Year 2000',C,60,Other,Day,'lights lit',Fine,No,'Driver or rider',Male,52.0,Serious
'Year 2000',Unclassified,30,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,9.0,Serious
'Year 2000',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Male,6,Serious
'Year 2000',A,60,'Private drive or entrance',Day,'no lighting',Fine,No,'Driver or rider',Male,33,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,34,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Raining,No,Passenger,Female,66,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,48,Fatal
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Female,61.0,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,32,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,24,Serious
'Year 2000',B,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,35,Serious
'Year 2000',B,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,28,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,26,Fatal
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,78,Serious
'Year 2000',A,30,'Not a junction',Night,'lights lit',Fine,Yes,Pedestrian,Female,48,Fatal
'Year 2000',A,30,Crossroads,Night,'lights lit',Raining,No,Pedestrian,Male,53,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,24,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,20.0,Serious
'Year 2000',Unclassified,30,'Slip road',Day,'lights lit',Raining,No,Pedestrian,Male,86,Serious
'Year 2000',B,30,Crossroads,Day,'lights lit',Fine,No,Pedestrian,Male,12,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,39,Serious
'Year 2000',Unclassified,30,'Not a junction',Night,'lights lit',Fine,No,'Driver or rider',Male,14,Serious
'Year 2000',A,60,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,29,Serious
'Year 2000',A,60,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,51,Serious
'Year 2000',A,60,'Not a junction',Day,'lights lit',Fine,No,Passenger,Female,24,Serious
'Year 2000',B,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,23,Serious
'Year 2000',B,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Female,25,Serious
'Year 2000',B,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,28,Serious
'Year 2000',A,40,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Female,36,Serious
'Year 2000',Unclassified,70,'T,Y or staggered road',Night,'lights lit',Fine,No,'Driver or rider',Female,22.0,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,21,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,17,Serious
