@relation 'Road Accident Data, nominal'
@attribute 'Accident Year'{'Year 2000', 'Year 2001', 'Year 2002', 'Year 2003', 'Year 2004', 'Year 2005'}
@attribute 'Road Class' {Motorway, 'A(M)', A, B, C, Unclassified}
@attribute 'Speed Limit' {20, 30, 40, 50, 60, 70}
@attribute 'Junction Detail' {'Not a junction', Roundabout, 'Mini-roundabout', 'T,Y or staggered road', 'Slip road', Crossroads, 'Multiple juncion', 'Private drive or entrance', Other}
@attribute 'Day/Night?' {Day, Night}
@attribute 'Light Condition' {'lights lit', 'lights unlit', 'no lighting', 'lighting unknown'}
@attribute 'Weather Condition' {Fine, Raining, Snowing, 'Fog or mist', Other, Unknown}
@attribute 'High winds?' {Yes, No, Unknown}
@attribute 'Casualty Class' {'Driver or rider', Passenger, Pedestrian}
@attribute 'Sex of Casualty' {Male, Female}
@attribute 'Age of Casualty' real
@attribute 'Severity of Casualty' {Fatal, Serious}

@data
'Year 2003','A(M)',70,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,41.0,Fatal
'Year 2003','A(M)',70,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,43,Serious
'Year 2003',C,30,'T,Y or staggered road',Night,'lights lit',Raining,No,Passenger,Male,18,Serious
'Year 2003',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,57,Serious
'Year 2003',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,45,Serious
'Year 2003',A,60,'T,Y or staggered road',Night,'no lighting',Raining,No,Passenger,Female,79,Serious
'Year 2003','A(M)',70,'Slip road',Night,'no lighting',Fine,No,'Driver or rider',Female,29,Serious
'Year 2003','A(M)',70,'Slip road',Night,'no lighting',Fine,No,Passenger,Male,11,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,Pedestrian,Male,37.0,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,Pedestrian,Male,28,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Female,52.0,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Male,25,Serious
'Year 2004',Unclassified,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,33,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,55,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,32,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Snowing,Yes,Passenger,Female,28,Serious
'Year 2004',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,32,Serious
'Year 2004',A,60,'T,Y or staggered road',Night,'lights lit',Fine,No,Pedestrian,Male,34,Serious
'Year 2004',Unclassified,30,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,31,Serious
'Year 2004',A,60,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Female,87,Fatal
'Year 2004',A,60,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Female,48,Serious
'Year 2004',Unclassified,60,'Not a junction',Day,'no lighting',Fine,No,Pedestrian,Male,12,Serious
'Year 2004',A,60,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Female,50,Serious
'Year 2004',A,60,'T,Y or staggered road',Day,'lights lit',Fine,No,Passenger,Female,40,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,54,Serious
'Year 2004',Unclassified,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Female,46,Serious
'Year 2004',Unclassified,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,35,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,55,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,24,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,52.0,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,45,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,46,Serious
'Year 2004',A,60,'Not a junction',Day,'lights lit',Raining,No,'Driver or rider',Male,39,Fatal
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,40,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,51,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Female,32,Serious
'Year 2004',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,28,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,26,Serious
'Year 2004',A,60,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,62,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,58,Serious
'Year 2004',B,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,47,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,18,Serious
'Year 2004',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,35,Serious
'Year 2004',A,70,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,24,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,37.0,Fatal
'Year 2004',A,60,'Not a junction',Day,'no lighting',Raining,No,Passenger,Female,16,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,60,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,30,Serious
'Year 2004',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Female,34,Fatal
'Year 2004',C,60,Other,Day,'no lighting',Fine,No,'Driver or rider',Male,18,Serious
'Year 2004',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,5,Serious
'Year 2004',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Female,23,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,61.0,Serious
'Year 2004',A,70,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,60,Serious
'Year 2004',Unclassified,30,'Slip road',Day,'no lighting',Raining,No,'Driver or rider',Female,45,Serious
'Year 2004',Unclassified,70,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,20.0,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,45,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,57,Fatal
'Year 2004',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,43,Serious
'Year 2004',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,20.0,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,18,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Raining,No,Passenger,Male,23,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Raining,No,Passenger,Male,24,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,34,Serious
'Year 2004',A,60,'T,Y or staggered road',Day,'no lighting',Raining,No,'Driver or rider',Male,72,Serious
'Year 2004',A,60,'T,Y or staggered road',Day,'no lighting',Raining,No,Passenger,Female,67,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,30,Serious
'Year 2004',Unclassified,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,17,Serious
'Year 2004',B,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,27,Serious
'Year 2004',Unclassified,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,18,Serious
'Year 2004',A,60,'Private drive or entrance',Day,'no lighting',Raining,No,Pedestrian,Female,54,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Raining,Yes,'Driver or rider',Female,43,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Male,17,Serious
'Year 2004',Unclassified,60,'T,Y or staggered road',Day,'no lighting',Other,Unknown,'Driver or rider',Male,55,Serious
'Year 2004',Unclassified,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,23,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,26,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,Pedestrian,Male,33,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,52.0,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Raining,No,Passenger,Female,42,Serious
'Year 2004',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,42,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,63,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,17,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Raining,No,Passenger,Male,18,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Raining,No,Passenger,Male,18,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,45,Fatal
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Female,42,Fatal
'Year 2004',B,30,'Not a junction',Night,'lights unlit',Fine,No,Pedestrian,Female,10,Serious
'Year 2004',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,58,Fatal
'Year 2004',A,70,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,54,Serious
'Year 2004',A,60,'Not a junction',Night,'lights lit',Other,Unknown,'Driver or rider',Male,25,Serious
'Year 2004',A,60,'T,Y or staggered road',Day,'no lighting',Snowing,Yes,Passenger,Female,53,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,62,Serious
'Year 2004',B,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,81,Fatal
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,21,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,20.0,Fatal
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,73,Fatal
'Year 2004',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Passenger,Female,16,Serious
'Year 2004',A,30,Roundabout,Night,'lights lit',Raining,No,'Driver or rider',Male,41.0,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Snowing,Yes,'Driver or rider',Female,45,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting','Fog or mist',No,'Driver or rider',Female,43,Serious
'Year 2004',A,60,Other,Day,'no lighting',Fine,No,'Driver or rider',Female,44,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,17,Serious
'Year 2004',B,40,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,21,Serious
'Year 2004',A,60,Crossroads,Day,'lights lit',Fine,No,'Driver or rider',Male,73,Fatal
'Year 2004',A,60,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,22.0,Serious
'Year 2004',A,60,'Not a junction',Day,'lights lit',Fine,No,Passenger,Male,17,Serious
'Year 2004',A,60,'Not a junction',Day,'lights lit',Fine,No,Passenger,Male,21,Serious
'Year 2004',A,60,'Not a junction',Day,'lights lit',Fine,No,Passenger,Male,22.0,Serious
'Year 2004',A,60,'Not a junction',Day,'lights lit',Fine,No,Passenger,Female,19,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,23,Fatal
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,43,Serious
'Year 2004',A,40,'Not a junction',Day,'lights lit',Fine,No,Passenger,Male,49,Fatal
'Year 2004',A,30,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,28,Serious
'Year 2004',A,40,'Not a junction',Night,'lights lit',Raining,No,Pedestrian,Male,65,Serious
'Year 2004',Unclassified,60,'Not a junction',Day,'no lighting',Raining,Yes,'Driver or rider',Male,78,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Female,26,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,18,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,74,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Snowing,No,'Driver or rider',Male,33,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Snowing,No,Passenger,Male,29,Fatal
'Year 2004',A,60,Crossroads,Day,'no lighting',Fine,No,Passenger,Female,12,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,64,Serious
'Year 2004',A,30,'T,Y or staggered road',Day,'lights lit',Raining,No,'Driver or rider',Male,46,Fatal
'Year 2004',A,60,Other,Day,'no lighting',Raining,Yes,'Driver or rider',Male,24,Serious
'Year 2004',A,60,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Female,81,Serious
'Year 2004',B,40,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,48,Serious
'Year 2004',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,14,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,38.0,Serious
'Year 2004',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Female,46,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,48,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Raining,Yes,'Driver or rider',Male,19,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,31,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Raining,No,Passenger,Female,14,Serious
'Year 2004',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,63,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,50,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,42,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,36,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,35,Fatal
'Year 2004',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,Passenger,Female,60,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,41.0,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,64,Serious
'Year 2004',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,Passenger,Female,70,Serious
'Year 2004',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,50,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting','Fog or mist',No,'Driver or rider',Male,19,Serious
'Year 2004',Unclassified,30,Crossroads,Day,'lights lit',Fine,No,'Driver or rider',Female,7,Serious
'Year 2004',A,60,Crossroads,Day,'no lighting',Fine,No,'Driver or rider',Male,63,Serious
'Year 2004',A,60,Crossroads,Day,'no lighting',Fine,No,Passenger,Female,56,Serious
'Year 2004',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,Pedestrian,Male,13,Serious
'Year 2004',Unclassified,60,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Male,17,Fatal
'Year 2004',Unclassified,60,'Not a junction',Night,'no lighting',Raining,No,Passenger,Male,15,Fatal
'Year 2004',Unclassified,60,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Male,43,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,Pedestrian,Male,30,Serious
'Year 2004',A,60,'Private drive or entrance',Day,'no lighting',Raining,No,'Driver or rider',Male,76,Fatal
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Female,60,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Other,Unknown,'Driver or rider',Female,54,Fatal
'Year 2004',A,60,'Not a junction',Night,'no lighting',Other,Unknown,'Driver or rider',Male,30,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,24,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Female,66,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,43,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Snowing,Yes,Passenger,Female,32,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Snowing,Yes,Passenger,Female,25,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Snowing,Yes,Passenger,Male,22.0,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Snowing,Yes,Passenger,Male,16,Serious
'Year 2004',A,30,'T,Y or staggered road',Day,'lights lit',Raining,No,'Driver or rider',Female,43,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,40,Serious
'Year 2004',A,60,'T,Y or staggered road',Day,'no lighting',Raining,No,'Driver or rider',Male,37.0,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,Yes,Passenger,Male,19,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Raining,Yes,'Driver or rider',Female,42,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Male,38.0,Serious
'Year 2004',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Female,28,Serious
'Year 2004',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,28,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Raining,No,Pedestrian,Male,33,Serious
'Year 2004',A,60,'T,Y or staggered road',Day,'no lighting',Raining,Yes,'Driver or rider',Male,20.0,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Snowing,No,'Driver or rider',Male,33,Fatal
'Year 2004',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Female,56,Serious
'Year 2004',B,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Female,8,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,17,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Raining,Yes,'Driver or rider',Male,19,Serious
'Year 2004',B,40,'Not a junction',Night,'no lighting',Fine,No,Pedestrian,Female,26,Serious
'Year 2004',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,Passenger,Female,19,Serious
'Year 2004',A,60,'T,Y or staggered road',Day,'no lighting',Raining,Yes,'Driver or rider',Male,28,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,26,Fatal
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Female,18,Serious
'Year 2004',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,Passenger,Female,31,Serious
'Year 2004',A,60,'Not a junction',Day,'lighting unknown',Fine,No,'Driver or rider',Male,30,Serious
'Year 2004',A,60,'Slip road',Day,'no lighting',Fine,No,'Driver or rider',Female,60,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,51,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,22.0,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,39,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,24,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,48,Serious
'Year 2004',A,60,'Not a junction',Day,'lighting unknown',Fine,No,Passenger,Male,22.0,Serious
'Year 2004',A,60,'Not a junction',Day,'lighting unknown',Fine,No,Passenger,Male,22.0,Serious
'Year 2004',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Female,17,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,62,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Female,23,Serious
'Year 2004',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,16,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,Yes,'Driver or rider',Male,27,Serious
'Year 2004',B,60,Crossroads,Day,'no lighting',Fine,No,'Driver or rider',Female,33,Serious
'Year 2004',Unclassified,30,'Not a junction',Day,'lights lit',Unknown,Unknown,Pedestrian,Male,40,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,49,Serious
'Year 2004',B,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,25,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,21,Serious
'Year 2004',B,40,'Not a junction',Night,'no lighting',Fine,No,Pedestrian,Male,50,Fatal
'Year 2004',A,30,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,41.0,Fatal
'Year 2004',B,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,14,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Female,33,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Raining,Yes,Passenger,Male,73,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Raining,Yes,'Driver or rider',Female,73,Fatal
'Year 2004',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,2,Serious
'Year 2004',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,46,Serious
'Year 2004',B,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Female,40,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,17,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,15,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,27,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,50,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Raining,No,Passenger,Female,57,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,43,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Female,58,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,Pedestrian,Male,20.0,Fatal
'Year 2004',B,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,50,Serious
'Year 2004',Unclassified,30,'T,Y or staggered road',Day,'lighting unknown',Fine,No,'Driver or rider',Male,29,Serious
'Year 2004',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Male,42,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,31,Serious
'Year 2004',A,60,Other,Night,'lights lit',Fine,No,Passenger,Female,47,Serious
'Year 2004',B,30,'Not a junction',Day,'lights lit',Fine,No,Passenger,Male,4,Serious
'Year 2004',B,60,Crossroads,Day,'no lighting',Fine,No,'Driver or rider',Male,18,Serious
'Year 2004',B,60,Crossroads,Day,'no lighting',Fine,No,'Driver or rider',Male,43,Fatal
'Year 2004',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,8,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,35,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,36,Serious
'Year 2004',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,41.0,Serious
'Year 2004',Unclassified,60,'Not a junction',Day,'lighting unknown',Fine,No,'Driver or rider',Male,62,Serious
'Year 2004',A,60,'T,Y or staggered road',Night,'no lighting',Fine,No,'Driver or rider',Male,23,Serious
'Year 2004',A,60,'T,Y or staggered road',Night,'no lighting',Fine,No,Passenger,Female,21,Serious
'Year 2004',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,35,Serious
'Year 2004',Unclassified,30,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,56,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,37.0,Fatal
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,41.0,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,13,Serious
'Year 2004',A,60,'T,Y or staggered road',Night,'no lighting',Fine,No,'Driver or rider',Male,83,Fatal
'Year 2004',A,60,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Male,19,Fatal
'Year 2004',A,60,'Not a junction',Day,'no lighting',Snowing,No,Passenger,Female,37.0,Serious
'Year 2004',Unclassified,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,19,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Raining,No,Pedestrian,Male,16,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,48,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,44,Serious
'Year 2004',A,40,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Female,39,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,65,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Raining,No,Passenger,Female,51,Serious
'Year 2004',A,30,'Mini-roundabout',Day,'lights lit',Fine,No,Pedestrian,Male,15,Serious
'Year 2004',B,40,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,56,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,18,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,19,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,18,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,18,Serious
'Year 2004',A,40,'Not a junction',Day,'lights lit',Fine,No,Passenger,Female,46,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,44,Serious
'Year 2004',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,30,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,29,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Raining,Yes,Passenger,Female,39,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,75,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,85,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,63,Serious
'Year 2004',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,59,Serious
'Year 2004',A,60,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Male,52.0,Serious
